1,272,272
2,252,272
3,232,272
4,292,272
5,312,272
6,272,232
7,272,192
8,272,152
9,272,112
10,212,112
11,192,112
12,172,112
13,192,92
14,172,92
15,152,112
16,112,72
17,132,52
18,172,52
19,212,52
20,252,52
21,332,112
22,352,112
23,372,112
24,352,92
25,372,92
26,392,112
27,432,72
28,412,52
29,372,52
30,332,52
31,292,52
32,272,312
33,252,312
34,232,332
35,212,352
36,232,352
37,252,332
38,272,332
39,312,312
40,332,332
41,352,352
42,332,352
43,312,332
44,332,372
45,312,352
46,312,372
47,272,352
48,252,372
49,252,352
50,232,372
51,272,372
52,272,492
53,212,492
54,172,472
55,132,432
56,92,392
57,72,332
58,52,272
59,52,212
60,52,152
61,332,472
62,372,452
63,412,412
64,452,372
65,472,312
66,472,252
67,472,192
68,472,132
